Counter | 	             Matrix | 	Total number of rows| 	 Total number of nonzeros| 	 Avg. nonzeros per row| 	 BW reduction| 	 BW reduction [0-9]*->| 	 
     0 | 	  Anderson-16.5.mtx | 	2097152 | 	 14680064 | 	  7.000 | 	 1198372 | 	  24620 | 	 
     1 | 	       audikw_1.mtx | 	943695 | 	 77651847 | 	 82.285 | 	 925946 | 	  35084 | 	 
     2 | 	        bone010.mtx | 	986703 | 	 71666325 | 	 72.632 | 	  13016 | 	  14540 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	4802000 | 	 85362744 | 	 17.776 | 	 600299 | 	  23766 | 	 
     4 | 	     crankseg_1.mtx | 	 52804 | 	 10614210 | 	 201.011 | 	  50388 | 	   5126 | 	 
     5 | 	   delaunay_n24.mtx | 	16777216 | 	 100663202 | 	  6.000 | 	 16769102 | 	  32837 | 	 
     6 | 	 dielFilterV3real.mtx | 	1102824 | 	 89306020 | 	 80.979 | 	 1036475 | 	  25637 | 	 
     7 | 	     Emilia_923.mtx | 	923136 | 	 41005206 | 	 44.419 | 	  17279 | 	  14672 | 	 
     8 | 	             F1.mtx | 	343791 | 	 26837113 | 	 78.062 | 	 343754 | 	  10052 | 	 
     9 | 	      Fault_639.mtx | 	638802 | 	 28614564 | 	 44.794 | 	  19988 | 	  19487 | 	 
    10 | 	      Flan_1565.mtx | 	1564794 | 	 117406044 | 	 75.030 | 	  20702 | 	  20849 | 	 
    11 | 	     G3_circuit.mtx | 	1585478 | 	 7660826 | 	  4.832 | 	 947128 | 	   5068 | 	 
    12 | 	       Geo_1438.mtx | 	1437960 | 	 63156690 | 	 43.921 | 	  26018 | 	  30623 | 	 
    13 | 	  Graphene-2048.mtx | 	4194304 | 	 16771072 | 	  3.999 | 	   2048 | 	   1536 | 	 
    14 | 	  Graphene-4096.mtx | 	16777216 | 	 67096576 | 	  3.999 | 	   4096 | 	   3072 | 	 
    15 | 	     gsm_106857.mtx | 	589446 | 	 21758924 | 	 36.914 | 	 588744 | 	  17865 | 	 
    16 | 	      Hook_1498.mtx | 	1498023 | 	 60917445 | 	 40.665 | 	  29036 | 	  28994 | 	 
    17 | 	       HPCG-192.mtx | 	7077888 | 	 189119224 | 	 26.720 | 	  37057 | 	 110017 | 	 
    18 | 	       inline_1.mtx | 	503712 | 	 36816342 | 	 73.090 | 	 502403 | 	   5963 | 	 
    19 | 	      nlpkkt120.mtx | 	3542400 | 	 96845792 | 	 27.339 | 	 1814521 | 	  86876 | 	 
    20 | 	      nlpkkt200.mtx | 	16240000 | 	 448225632 | 	 27.600 | 	 8240201 | 	 240796 | 	 
    21 | 	       offshore.mtx | 	259789 | 	 4242673 | 	 16.331 | 	 237738 | 	  19534 | 	 
    22 | 	  parabolic_fem.mtx | 	525825 | 	 3674625 | 	  6.988 | 	 525820 | 	    514 | 	 
    23 | 	           pwtk.mtx | 	217918 | 	 11634424 | 	 53.389 | 	 189331 | 	   2029 | 	 
    24 | 	         Serena.mtx | 	1391349 | 	 64531701 | 	 46.381 | 	  81578 | 	  84947 | 	 
    25 | 	       ship_003.mtx | 	121728 | 	 8086034 | 	 66.427 | 	   3659 | 	   3809 | 	 
    26 | 	        Spin-26.mtx | 	10400600 | 	 145608400 | 	 14.000 | 	 709995 | 	 211828 | 	 
    27 | 	       thermal2.mtx | 	1228045 | 	 8580313 | 	  6.987 | 	 1226000 | 	    797 | 	 
