Counter | 	             Matrix | 	Total number of rows| 	 Total number of nonzeros| 	 Avg. nonzeros per row| 	 BW reduction| 	 BW reduction [0-9]*->|	 
     0 | 	  Anderson-16.5.mtx | 	2097152 | 	 14680064 | 	  7.000 | 	 1198372 | 	  24620 | 	 
     1 | 	       audikw_1.mtx | 	943695 | 	 77651847 | 	 82.285 | 	 925946 | 	  35084 | 	 
     2 | 	        bone010.mtx | 	986703 | 	 71666325 | 	 72.632 | 	  13016 | 	  14540 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	4802000 | 	 85362744 | 	 17.776 | 	 600299 | 	  23766 | 	 
     4 | 	     crankseg_1.mtx | 	 52804 | 	 10614210 | 	 201.011 | 	  50388 | 	   5126 | 	 
     5 | 	   delaunay_n24.mtx | 	16777216 | 	 100663202 | 	  6.000 | 	 16769102 | 	  32837 | 	 
     6 | 	 dielFilterV3real.mtx | 	1102824 | 	 89306020 | 	 80.979 | 	 1036475 | 	  25637 | 	 
     7 | 	     Emilia_923.mtx | 	923136 | 	 41005206 | 	 44.419 | 	  17279 | 	  14672 | 	 
     8 | 	             F1.mtx | 	343791 | 	 26837113 | 	 78.062 | 	 343754 | 	  10052 | 	 
     9 | 	      Fault_639.mtx | 	638802 | 	 28614564 | 	 44.794 | 	  19988 | 	  19487 | 	 
    10 | 	      Flan_1565.mtx | 	1564794 | 	 117406044 | 	 75.030 | 	  20702 | 	  20849 |
    11 | 	 FreeBosonChain-18.mtx | 	3124550 | 	 38936700 | 	 12.462 | 	 2042975 | 	 131749 | 	 
    12 | 	 FreeFermionChain-26.mtx | 	10400600 | 	 140616112 | 	 13.520 | 	 5490811 | 	 434345 | 	 	 
    13 | 	     G3_circuit.mtx | 	1585478 | 	 7660826 | 	  4.832 | 	 947128 | 	   5068 | 	 
    14 | 	       Geo_1438.mtx | 	1437960 | 	 63156690 | 	 43.921 | 	  26018 | 	  30623 | 	 
    15 | 	  Graphene-4096.mtx | 	16777216 | 	 218013704 | 	  12.995 | 	   4098 | 	   6145 | 	 
    16 | 	  Graphene-short-4096.mtx | 	16777216 | 	 67096576 | 	  3.999 | 	   4096 | 	   3072 | 	 
    17 | 	     gsm_106857.mtx | 	589446 | 	 21758924 | 	 36.914 | 	 588744 | 	  17865 | 	 
    18 | 	      Hook_1498.mtx | 	1498023 | 	 60917445 | 	 40.665 | 	  29036 | 	  28994 | 	 
    19 | 	       HPCG-192.mtx | 	7077888 | 	 189119224 | 	 26.720 | 	  37057 | 	 110017 |
    20 | 	     Hubbard-12.mtx | 	853776 | 	 11098164 | 	 12.999 | 	 232848 | 	  38780 | 	 
    21 | 	     Hubbard-14.mtx | 	11778624 | 	 176675928 | 	 15.000 | 	 3171168 | 	 425415 | 	  	 
    22 | 	       inline_1.mtx | 	503712 | 	 36816342 | 	 73.090 | 	 502403 | 	   5963 | 	 
    23 | 	      nlpkkt120.mtx | 	3542400 | 	 96845792 | 	 27.339 | 	 1814521 | 	  86876 | 	 
    24 | 	      nlpkkt200.mtx | 	16240000 | 	 448225632 | 	 27.600 | 	 8240201 | 	 240796 | 	 
    25 | 	       offshore.mtx | 	259789 | 	 4242673 | 	 16.331 | 	 237738 | 	  19534 | 	 
    26 | 	  parabolic_fem.mtx | 	525825 | 	 3674625 | 	  6.988 | 	 525820 | 	    514 | 	 
    27 | 	           pwtk.mtx | 	217918 | 	 11634424 | 	 53.389 | 	 189331 | 	   2029 | 	 
    28 | 	         Serena.mtx | 	1391349 | 	 64531701 | 	 46.381 | 	  81578 | 	  84947 | 	 
    29 | 	       ship_003.mtx | 	121728 | 	 8086034 | 	 66.427 | 	   3659 | 	   3809 | 	 
    30 | 	        Spin-26.mtx | 	10400600 | 	 145608400 | 	 14.000 | 	 709995 | 	 211828 | 	 
    31 | 	       thermal2.mtx | 	1228045 | 	 8580313 | 	  6.987 | 	 1226000 | 	    797 | 	 
