Counter | 	             Matrix | 	Total number of rows| 	 Total number of nonzeros| 	 Avg. nonzeros per row| 	 BW reduction| 	 BW reduction [0-9]*->| 	 
     0 | 	 nlpkkt27-1062400-14883536.mtx | 	1062400 | 	 28704672 | 	 27.019 | 	 550481 | 	  38716 | 	 
     1 | 	 nlpkkt27-11858400-169315936.mtx | 	11858400 | 	 326773472 | 	 27.556 | 	 6026581 | 	 195116 | 	 
     2 | 	 nlpkkt27-13934600-199120776.mtx | 	13934600 | 	 384306952 | 	 27.579 | 	 7075791 | 	 217356 | 	 
     3 | 	 nlpkkt27-1506600-21186376.mtx | 	1506600 | 	 40866152 | 	 27.125 | 	 777691 | 	  48956 | 	 
     4 | 	 nlpkkt27-16240000-232232816.mtx | 	16240000 | 	 448225632 | 	 27.600 | 	 8240201 | 	 240796 | 	 
     5 | 	 nlpkkt27-18400-233696.mtx | 	 18400 | 	 448992 | 	 24.402 | 	  10421 | 	   2476 | 	 
     6 | 	 nlpkkt27-18786600-268826056.mtx | 	18786600 | 	 518865512 | 	 27.619 | 	 9525811 | 	 265436 | 	 
     7 | 	 nlpkkt27-2060000-29056416.mtx | 	2060000 | 	 56052832 | 	 27.210 | 	 1060101 | 	  60396 | 	 
     8 | 	 nlpkkt27-21586400-309074496.mtx | 	21586400 | 	 596562592 | 	 27.636 | 	 10938621 | 	 291276 | 	 
     9 | 	 nlpkkt27-2734600-38667656.mtx | 	2734600 | 	 74600712 | 	 27.280 | 	 1403711 | 	  73036 | 	 
    10 | 	 nlpkkt27-3542400-50194096.mtx | 	3542400 | 	 96845792 | 	 27.339 | 	 1814521 | 	  86876 | 	 
    11 | 	 nlpkkt27-4495400-63809736.mtx | 	4495400 | 	 123124072 | 	 27.389 | 	 2298531 | 	 101916 | 	 
    12 | 	 nlpkkt27-453600-6283456.mtx | 	453600 | 	 12113312 | 	 26.705 | 	 237661 | 	  21836 | 	 
    13 | 	 nlpkkt27-5605600-79688576.mtx | 	5605600 | 	 153771552 | 	 27.432 | 	 2861741 | 	 118156 | 	 
    14 | 	 nlpkkt27-59400-787336.mtx | 	 59400 | 	 1515272 | 	 25.510 | 	  32431 | 	   5516 | 	 
    15 | 	 nlpkkt27-6885000-98004616.mtx | 	6885000 | 	 189124232 | 	 27.469 | 	 3510151 | 	 135596 | 	 
    16 | 	 nlpkkt27-715400-9973896.mtx | 	715400 | 	 19232392 | 	 26.883 | 	 372471 | 	  29676 | 	 
    17 | 	 nlpkkt27-8345600-118931856.mtx | 	8345600 | 	 229518112 | 	 27.502 | 	 4249761 | 	 154236 | 	 
    18 | 	 nlpkkt27-9999400-142644296.mtx | 	9999400 | 	 275289192 | 	 27.531 | 	 5086571 | 	 174076 | 	 
