#Iter, abs. error
10, 0.0005702072616662
20, 0.0005336261927634
30, 0.0005158349770146
40, 0.0005036680792076
50, 0.0004942448530848
60, 0.0004864693286200
70, 0.0004798024687604
80, 0.0004739361835858
90, 0.0004686764872388
100, 0.0004638928734037
110, 0.0004594932060602
120, 0.0004554099793284
130, 0.0004515922377721
140, 0.0004480005615069
150, 0.0004446038190590
160, 0.0004413769906643
170, 0.0004382996653968
180, 0.0004353549763751
190, 0.0004325288288358
200, 0.0004298093289154
210, 0.0004271863531102
220, 0.0004246512183841
230, 0.0004221964256577
240, 0.0004198154577270
250, 0.0004175026181956
260, 0.0004152529017575
270, 0.0004130618887538
280, 0.0004109256587487
290, 0.0004088407191612
300, 0.0004068039459326
310, 0.0004048125338954
320, 0.0004028639550251
330, 0.0004009559231399
340, 0.0003990863639113
350, 0.0003972533892716
360, 0.0003954552754835
370, 0.0003936904442741
380, 0.0003919574465442
390, 0.0003902549482529
400, 0.0003885817181445
410, 0.0003869366170449
420, 0.0003853185884963
430, 0.0003837266505395
440, 0.0003821598884825
450, 0.0003806174485195
460, 0.0003790985320852
470, 0.0003776023908464
480, 0.0003761283222495
490, 0.0003746756655499
500, 0.0003732437982660
510, 0.0003718321330027
