#Iter, abs. error
10, 0.0006319141991001
20, 0.0006318609751741
30, 0.0006318351386776
40, 0.0006318176950012
50, 0.0006318044169774
60, 0.0006317936478334
70, 0.0006317845635254
80, 0.0006317766927766
90, 0.0006317697399354
100, 0.0006317635068836
110, 0.0006317578541348
120, 0.0006317526796353
130, 0.0006317479063865
140, 0.0006317434748120
150, 0.0006317393378376
160, 0.0006317354575999
170, 0.0006317318031761
180, 0.0006317283489747
190, 0.0006317250735696
200, 0.0006317219588370
210, 0.0006317189893062
220, 0.0006317161516625
230, 0.0006317134343624
240, 0.0006317108273307
250, 0.0006317083217205
260, 0.0006317059097196
270, 0.0006317035843950
280, 0.0006317013395643
290, 0.0006316991696911
300, 0.0006316970697969
310, 0.0006316950353887
320, 0.0006316930623973
330, 0.0006316911471251
340, 0.0006316892862023
350, 0.0006316874765488
360, 0.0006316857153419
370, 0.0006316839999880
380, 0.0006316823280986
390, 0.0006316806974688
400, 0.0006316791060593
410, 0.0006316775519796
420, 0.0006316760334743
430, 0.0006316745489099
440, 0.0006316730967642
450, 0.0006316716756162
460, 0.0006316702841372
470, 0.0006316689210830
480, 0.0006316675852866
490, 0.0006316662756526
