#Iter, abs. error
10, 0.0018926979390226
20, 0.0018095144569207
30, 0.0017553825146849
40, 0.0017168958719952
50, 0.0016879442996289
60, 0.0016652107795683
70, 0.0016467608568418
80, 0.0016313976219649
90, 0.0016183413761492
100, 0.0016070615587406
110, 0.0015971836705370
120, 0.0015884350635338
130, 0.0015806119400869
140, 0.0015735584822547
150, 0.0015671532074316
160, 0.0015612997840138
170, 0.0015559206868916
180, 0.0015509527120846
190, 0.0015463437392805
200, 0.0015420503511054
210, 0.0015380360527029
220, 0.0015342699198120
230, 0.0015307255579132
240, 0.0015273802907058
250, 0.0015242145200702
260, 0.0015212112159436
270, 0.0015183555058114
280, 0.0015156343414390
290, 0.0015130362261191
300, 0.0015105509897874
310, 0.0015081696023424
320, 0.0015058840177096
330, 0.0015036870428370
340, 0.0015015722270511
350, 0.0014995337681541
360, 0.0014975664323653
370, 0.0014956654857810
380, 0.0014938266354634
390, 0.0014920459786238
400, 0.0014903199586338
410, 0.0014886453268265
420, 0.0014870191092237
430, 0.0014854385774694
440, 0.0014839012233675
450, 0.0014824047365194
460, 0.0014809469846321
470, 0.0014795259961379
480, 0.0014781399448166
490, 0.0014767871361593
500, 0.0014754659952497
510, 0.0014741750559715
